% compassObs.txt
% 
% This file contains heading observations taken from within the stage simulation.  The
% observations are decimated and Gaussian noise with standard deviation of 0.25rad has been
% added to the true heading.
%
% time(s) time(micro-seconds) heading(rad)
1115116257 809225 3.276620
1115116259 37407 3.203641
1115116260 366726 3.075205
1115116261 595998 3.398862
1115116262 933064 3.878123
1115116264 163054 4.109688
1115116265 487517 4.008933
1115116266 720616 4.376032
1115116268 58573 4.671285
1115116269 289233 4.637854
1115116270 615180 4.456962
1115116271 844867 5.047745
1115116273 184382 4.632053
1115116274 412188 4.878109
1115116275 734039 4.845705
1115116276 963862 5.366806
1115116278 309475 4.599333
1115116279 539585 4.992266
1115116280 863664 5.320582
1115116282 95098 4.892529
1115116283 118682 4.643402
1115116284 143680 4.820208
1115116285 168053 4.993984
1115116286 192856 5.957645
1115116287 218149 5.391242
1115116288 244358 5.638006
1115116289 268025 5.839458
1115116290 292757 5.905305
1115116291 318771 6.063136
1115116292 343211 6.483239
1115116293 361552 -0.081086
1115116294 392109 0.344753
1115116295 417228 0.451099
1115116296 442165 0.039907
1115116297 467300 0.137136
1115116298 491859 0.360903
1115116299 516444 0.017814
1115116300 532375 0.431786
1115116301 566072 0.016478
1115116302 585065 0.376972
1115116303 615528 0.175072
1115116304 640089 6.507924
1115116305 664958 6.054750
1115116306 685573 6.504357
1115116307 715023 6.545345
1115116308 737158 6.250355
