% positionObs.txt
% 
% This file contains position observations taken from within the stage simulation.  The
% observations are decimated and Gaussian noise with standard deviation of 0.5m has been
% added to the true position.
%
% time(s) time(micro-seconds) X(m) Y(m)
%
1115116140 254527 2.512230 -6.946208
1115116141 74354 1.963156 -6.072370
1115116141 895101 3.105211 -6.661537
1115116142 707375 2.160943 -6.292766
1115116143 526444 2.471378 -6.008618
1115116144 356263 1.884632 -6.392549
1115116145 176119 1.544185 -5.894114
1115116145 994521 0.682308 -5.903425
1115116146 814612 0.907483 -6.754790
1115116147 625748 -0.122468 -6.118596
1115116148 454037 0.002010 -5.322442
1115116149 270465 -0.113800 -6.293813
1115116150 94168 0.191222 -5.401227
1115116150 913968 -0.903434 -5.938943
1115116151 728901 -0.758836 -4.732683
1115116152 552745 -0.001116 -4.142390
1115116153 372682 0.628664 -3.614960
1115116154 192994 0.098247 -3.736998
1115116155 13305 -0.264388 -4.664872
1115116155 826259 -0.007281 -2.038479
1115116156 652454 0.133854 -2.707684
1115116157 472488 1.167955 -1.483952
1115116158 292733 0.260576 -2.572621
1115116159 112950 0.881405 -1.146015
1115116159 933923 0.490196 -1.030165
1115116160 752818 0.246520 -1.235510
1115116161 572107 0.912712 0.513208
1115116162 392223 1.382913 0.612240
1115116163 210216 0.107894 0.309644
1115116164 23094 0.460604 0.239498
1115116164 851732 0.957135 0.810369
1115116165 671132 1.315701 1.200961
1115116166 487640 0.641927 0.882974
1115116167 310988 0.790171 1.367458
1115116168 124576 1.430447 2.576534
1115116168 951010 0.455446 2.641629
1115116169 770409 1.665844 2.608711
1115116170 590153 1.625664 2.364460
1115116171 404929 0.959794 2.834404
1115116172 231839 1.732005 3.810733
1115116173 50281 2.209058 3.833395
1115116173 869592 1.898290 3.828815
1115116174 689622 2.351786 4.399650
1115116175 509540 2.191335 3.254016
1115116176 321351 2.358284 4.844613
1115116177 140933 2.548600 4.257738
1115116177 969073 2.326845 4.101740
1115116178 782694 2.688321 4.572773
1115116179 609591 3.275593 4.519790
1115116180 420526 4.002177 4.604761
1115116181 248946 3.407492 4.428218
1115116182 68206 4.610322 4.402291
1115116182 888744 3.576099 3.451257
1115116183 700929 4.305520 3.222209
